年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,GPS座標X,GPS座標
2016,8,2,0,40,臺南市,永康區,復華里,,忠孝路,,,,,,,,,忠孝運動公園對面,,,,,,120.24234,23.01241
2016,8,2,12,10,臺南市,永康區,鹽洲里,,中正北路,,317,,16,,,,,,,,,,,120.24736,23.04346
2016,8,2,7,20,臺南市,永康區,,,中山南路,,,,571,,,,,,,,,,,120.25113,23.02436
2016,8,2,23,30,臺南市,永康區,永康里,,永二街,,,,,,永興路,,,,,,,,,120.255,23.02028
2016,8,2,17,31,臺南市,永康區,,,,,,,,,,,,蔦松一街與蔦松一街113巷,,,,,,120.25595,23.04574
2016,8,2,8,30,臺南市,永康區,,,,,,,,,,,,中山路與中山北路口,,,,,,120.25728,23.02599
2016,8,2,12,6,臺南市,下營區,後街里,,,,,,,,,,,中正北路.174線路口,,,,,,120.25988,23.24108
2016,8,2,8,40,臺南市,永康區,,,永大路,三,,,302,,,,,,,,,,,120.25993,23.03203
2016,8,2,13,49,臺南市,永康區,,,永大二路,,,,,,永忠路,,,,,,,,,120.26051,23.01861
2016,8,2,5,19,臺南市,永康區,南灣里,,,,,,,,,,,與南興路口,,,,,,120.26124,22.99869
2016,8,2,18,52,臺南市,新市區,社內里,,新港社大道,,,,,,,,,與國8聯外道口,,,,,,120.28006,23.0676
2016,8,2,12,35,臺南市,新市區,永就里,,中山路,,,,,,,,,與中華路口,臺1線,321,500,北,外側,120.29081,23.06753
2016,8,2,11,2,臺南市,歸仁區,後市里,,中山路,二,,,,,中山六街,,,,,,,,,120.29292,22.96695
2016,8,2,12,20,臺南市,新市區,新市里,,和平街,,,,,,,,,65號,,,,,,120.29375,23.081
2016,8,2,16,43,臺南市,新化區,協興里,,大新路,,131,,39,,,,,後方路口,,,,,,120.29641,23.03833
2016,8,2,15,30,臺南市,善化區,六分里,,,,,,,,,,,中正路與南125線,,,,,,120.29845,23.14784
2016,8,2,19,43,臺南市,新營區,新北里,,金華路,,,,,,三興街,,,,,,,,,120.30987,23.31649
2016,8,2,7,35,臺南市,新化區,,,,,,,,,,,,,臺19甲線,39,200,西,外側,120.31196,23.02442
2016,8,2,17,40,臺南市,善化區,小新里,,成功路,,,,,,,,,51號,178線,20,100,東,機慢,120.31681,23.12766
2016,8,2,19,18,臺南市,官田區,隆本里,,勝利路,,,,228,,,,,,,,,,,120.3176,23.19748
2016,8,2,19,42,臺南市,後壁區,新東里,,,,,,,,,,,南85線6.4公里處,,,,,,120.32734,23.3387
2016,8,2,17,15,臺南市,新營區,土庫里,,,,,,,,,,,,臺1線,288,600,北,外側,120.33639,23.321
2016,8,2,7,50,臺南市,柳營區,篤農里,,,,,,264之11,,,,,,,,,,,120.3708,23.28813
2016,8,2,18,50,臺南市,後壁區,烏樹里,,,,,,,,,,,172線28.6公里處(路燈編號0113-00),,,,,,120.38449,23.34216
2016,8,2,8,48,臺南市,安南區,,,,,,,,,,,,安中路一段與安中路一段379巷口,,,,,,120.85642,23.05124
2016,8,2,19,30,臺南市,東區,,,崇德路,,,,,,崇德二街,,,,,,,,,120.54341,22.48562
2016,8,3,11,42,臺南市,仁德區,,,義林路,,,,,,,,,與義林三街,,,,,,120.26156,22.9684
2016,8,3,8,22,臺南市,仁德區,仁義里,,中山路,,,,,,,,,與正義路口,,,,,,120.25946,22.9708
2016,8,3,7,40,臺南市,歸仁區,,,中山路,,,,,,,,,與中山十街,,,,,,120.25273,22.97389
2016,8,3,16,0,臺南市,安平區,,,育平路,,,,,,育平三街,,,,,,,,,120.16656,22.98764
2016,8,3,21,0,臺南市,學甲區,秀昌里,,,,,,一秀154之5,,,,,,,,,,,120.173,23.24339
2016,8,3,17,15,臺南市,佳里區,建南里,,,,,,,,,,,平等街183號前東向車道,,,,,,120.17639,23.15667
2016,8,3,19,30,臺南市,佳里區,東寧里,,,,,,,,,,,進學路與延平路路口,,,,,,120.17823,23.16389
2016,8,3,22,10,臺南市,安平區,,,永華路,,,,,,永華四街,,,,,,,,,120.18017,22.98984
2016,8,3,16,25,臺南市,南區,,,灣裡路,,72,,,,灣裡路,,,,,,,,,120.18066,22.93195
2016,8,3,11,39,臺南市,南區,,,中華西路,一,,,,,新興路,,,,,,,,,120.18399,22.97333
2016,8,3,19,30,臺南市,佳里區,鎮山里,,,,,,,,,,,鎮山94-34號,,,,,,120.1852,23.1509
2016,8,3,10,15,臺南市,南區,,,中華西路,一,109,,,,,,,,,,,,,120.18563,22.981
2016,8,3,17,34,臺南市,中西區,,,中華西路,二,,,,,府前路,二,北,,,,,,,120.18696,22.99273
2016,8,3,15,47,臺南市,中西區,,,金華路,,,,,,永華路,,,,,,,,,120.19205,22.98813
2016,8,3,8,0,臺南市,中西區,,,郡西路,,,,,,,,,保安市場,,,,,,120.19409,22.98869
2016,8,3,14,36,臺南市,中西區,,,海安路,,,,,,尊王路,,,,,,,,,120.19573,22.99169
2016,8,3,10,50,臺南市,學甲區,豐和里,,,,,,4-32,,,,,,171線,10,0,西,外側,120.19682,23.22478
2016,8,3,11,28,臺南市,安南區,,,北安路,二,,,516,,,,,,,,,,,120.20316,23.03711
2016,8,3,20,55,臺南市,北區,,,公園南路,,,,,,西門路,,,,,,,,,120.20342,23.00254
2016,8,3,13,20,臺南市,中西區,,,樹林街,二,,,,,,,,14號停車格,,,,,,120.20819,22.98614
2016,8,3,9,30,臺南市,安南區,,,北安路,二,,,,,聖安街,,,,,,,,,120.20885,23.04686
2016,8,3,13,10,臺南市,中西區,,,青年路,,,,,,城隍街,,,,,,,,,120.20913,22.99188
2016,8,3,21,10,臺南市,東區,,,大同路,一,73,,,,,,,,,,,,,120.21131,22.98697
2016,8,3,21,7,臺南市,安南區,,,育安一街,,,,,,安豐二街,,,,,,,,,120.21437,23.04953
2016,8,3,17,11,臺南市,安南區,,,安和路,五,171,,,,,,,,,,,,,120.21606,23.06536
2016,8,3,13,31,臺南市,安南區,,,安和路,四,,,548,,,,,,,,,,,120.21866,23.0616
2016,8,3,15,35,臺南市,東區,,,東門路,,,,,,長榮路,,,,,,,,,120.21881,22.98662
2016,8,3,18,15,臺南市,東區,,,林森路,一,,,350,,,,,,,,,,,120.2212,22.9841
2016,8,3,7,53,臺南市,東區,,,生產路,,,,,,,,,崇聖路,,,,,,120.22268,22.96485
2016,8,3,18,10,臺南市,東區,,,林森路,二,,,10,,,,,,,,,,,120.22381,22.98985
2016,8,3,14,17,臺南市,東區,,,崇善路,,,,201,,,,,,,,,,,120.22444,22.97971
2016,8,3,19,20,臺南市,東區,,,崇善路,,,,255,,,,,,,,,,,120.22585,22.97867
2016,8,3,18,40,臺南市,東區,,,東門路,二,,,,,裕豐街,,,,,,,,,120.22642,22.98336
2016,8,3,20,35,臺南市,東區,,,裕農路,,,,,,裕豐街,,,,,,,,,120.22688,22.98585
2016,8,3,14,20,臺南市,東區,,,崇德十二街,,61,,,,,,,,,,,,,120.22842,22.97164
2016,8,3,23,45,臺南市,東區,,,東門路,二,,,448,,,,,,,,,,,120.22857,22.98149
2016,8,3,23,20,臺南市,永康區,鹽行里,,中正南路,,,,,,正南三路,,,,,,,,,120.23046,23.0353
