年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,10506C00020604,CZQ1,10506CZ002572,2016,6,16,18,56,臺南市,仁德區,後璧里,,德南路,,70,,,,,,東,,,,,,,,,,,0,1,0,7,3,7,50,3,9,1,5,4,5,7,4,4,4,3,5,1,9,23,C000,CZ00,1,2,120.25303,22.94744
10506,10506C00020653,CZ91,10506CZ002823,2016,6,25,9,4,臺南市,仁德區,,,大同路,三,,,607,,,,,,,,,,,,,,,0,1,0,8,1,5,60,14,13,1,5,4,5,7,4,4,1,3,4,1,18,43,C000,CZ00,1,2,120.21903,22.94893
10506,,CZ91,10506CZ002360,2016,6,26,6,51,臺南市,關廟區,五甲里,,五甲路,,,,38,,,,,,,,,,,,,,,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,1,18,23,C000,CZ00,1,2,120.32804,22.95052
10506,10506C00020270,CZ91,10506CZ000585,2016,6,7,18,4,臺南市,歸仁區,,,,,,,,,,,,臺86線機慢機車道西往東方向,,,,,,,,,,0,1,0,8,4,5,50,14,9,1,5,4,5,7,4,4,10,4,5,1,16,21,C000,CZ00,1,2,120.30544,22.95076
10506,,CZ91,10506CZ002473,2016,6,27,7,39,臺南市,關廟區,,,南雄路,一,,,798,,,,,,,,,,,,,,,0,1,0,8,1,5,50,3,2,1,5,4,5,7,1,1,10,5,5,2,16,43,C000,CZ00,1,2,120.33109,22.95156
10506,,CZ91,10506CZ000195,2016,6,4,5,0,臺南市,仁德區,,,,,,,,,,,,民安路二段8-8號前,,,,,,,,,,0,1,0,8,2,5,50,4,1,1,5,4,5,7,4,4,10,5,5,1,13,23,C000,CZ00,1,2,120.25263,22.95278
10506,,CZ91,10506CZ003136,2016,6,24,17,10,臺南市,仁德區,,,機場路,,,,1386,,,,,,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,3,4,4,1,13,16,C000,CZ00,1,2,120.21677,22.95282
10506,,CZ91,10506CZ000484,2016,6,6,12,36,臺南市,關廟區,,,旺萊路,,,,105,,,,,,,,,,,,,,,0,1,0,8,1,5,50,14,13,1,5,4,5,7,4,4,9,5,5,1,13,23,C000,CZ00,1,2,120.33348,22.95308
10506,10506C00020293,CZW1,10506CZ001839,2016,6,20,12,30,臺南市,仁德區,,,,,,,,,,,,中山路中正路口,,,,,,,,,,0,1,0,8,1,5,40,14,9,1,5,4,5,7,1,1,8,3,4,1,16,23,C000,CZ00,1,2,120.15784,22.95366
10506,10506C00020351,CZ91,10506CZ000257,2016,6,4,18,24,臺南市,仁德區,新田里,,北保路,,,,82,,,,,,,,,,,,,,,0,2,0,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,2,16,8,C000,CZ00,1,2,120.25245,22.95503
10506,,CZ00,10506CZ001361,2016,6,17,8,20,臺南市,仁德區,成功里,,保生東路,,,,,,成功二街,,,,,,,,,,,,,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,5,5,1,16,8,C000,CZ00,1,2,120.22878,22.95577
10506,10506C00020662,CZ91,10506CZ002820,2016,6,28,14,25,臺南市,仁德區,,,民安路,一,,,180,,,,,,,,,,,,,,,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,5,5,1,13,16,C000,CZ00,1,2,120.24319,22.95798
